ID_IBGE;ID_SNIS;MUNICIP1;MUNICIP2;UF;REGIAO;CENTRX;CENTRY;RENDAPITA;GINI;PIB;IDH;AG001;AG020;AG022;GE012;CONSUMO1;CONSUMO2;REDE;PROPREDE
5108501;510850;VERA;Vera;MT;5;-55,34582;-12,42177643; 492,48;0,4188;1,379554e+05;0,772;    6864;   296,89;   1877;   10235;2,900733e+01; 43,25320500;   1823;0,614839798
5108600;510860;VILA RICA;Vila Rica;MT;5;-51,40466; -9,98054536; 653,67;0,5647;1,420234e+05;0,723;    5000;NA;NA;   21382;NA;NA;    846;0,139236340
5108808;510880;NOVA GUARITA;Nova Guarita;MT;5;-55,33940;-10,29197037; 516,13;0,5155;3,618578e+04;0,724;    2155;    60,00;    792;    4932;1,216545e+01; 27,84222700;    587;0,390033223
5108857;510885;NOVA MARILNDIA;Nova Marilndia;MT;5;-57,26293;-14,28910182; 545,02;0,4381;4,455197e+04;0,701;    1957;NA;NA;    2951;NA;NA;    542;0,587852495
5108907;510890;NOVA MARING;Nova Maring;MT;5;-57,21982;-12,78307184; 622,30;0,4962;9,866563e+04;0,740;    3421;   400,00;    833;    6590;6,069803e+01;116,92487600;   1377;0,735576923
5108956;510895;NOVA MONTE VERDE;Nova Monte Verde;;5;-57,25020; -9,96557906; 585,33;0,5092;NA;NA;NA;NA;NA;NA;NA;NA;     42;0,016826923
5200050;520005;ABADIA DE GOIS;Abadia de Gois;GO;5;-49,45405;-16,78517911; 568,21;0,4258;1,921906e+04;0,742;    5072;   176,18;   1865;    6876;2,562245e+01; 34,73580400;   1589;0,745309568
5200100;520010;ABADINIA;Abadinia;GO;5;-48,71361;-16,18683985; 510,48;0,4427;4,964614e+04;0,723;   10778;   511,24;   3508;   15757;3,244526e+01; 47,43366100;   3369;0,726547337
5200134;520013;ACRENA;Acrena;GO;5;-50,32603;-17,45220880; 653,02;0,5419;2,070961e+05;0,763;   13856;   497,64;   3940;   20279;2,453967e+01; 35,91512700;   3847;0,598568539
5200159;520015;ADELNDIA;Adelndia;GO;5;-50,18467;-16,36925413; 492,82;0,4325;1,022871e+04;0,715;    2204;    71,57;    778;    2477;2,889382e+01; 32,47277700;    719;0,851895735
