ID_IBGE;UF;REGIAO;DOMICIL;REDE
2708956;AL;2;   3039;    764
4207403;SC;4;   1788;    623
1100023;RO;1;  27166;   9576
4209102;SC;4; 160651; 153383
2921450;BA;2;   2786;    688
3304755;RJ;3;  13497;   3418
1504455;NA;1;   7348;   1851
1100148;RO;1;   5916;   1674
1505551;NA;1;   1646;    407
1303304;NA;1;   4255;   1055
4216800;SC;4;   2920;    752
2920700;BA;2;   5162;   1389
5106158;MT;5;   3445;   1091
4215687;SC;4;    868;    270
4202206;SC;4;   3174;   1187
1503804;PA;1;  12576;   3272
4311403;RS;4;  24962;  22157
4305871;NA;4;    873;    745
3204500;ES;3;   3813;   1021
4202073;NA;4;   2890;   1176
3127404;MG;3;   1368;    403
2921500;BA;2;  14487;   3702
1500305;PA;1;   6754;   1754
2611606;PE;2; 470754; 408329
4316907;RS;4;  87450;  79967
2924207;BA;2;   4274;   1114
2505279;NA;2;   1465;    375
4304689;RS;4;   3908;   1178
2608008;PE;2;   4641;   1186
4300109;RS;4;   5425;   2600
2211357;PI;2;   1275;    329
1508035;PA;1;   6482;   1683
4208609;SC;4;   1273;    587
2210359;PI;2;   1297;    334
1503077;NA;1;   5801;   1499
4307864;RS;4;    763;    462
3172202;NA;3;    783;    220
2701605;AL;2;   4465;   1181
3305703;RJ;3;   5073;   1471
4301552;RS;4;   1218;    437
4313375;RS;4;   7218;   2640
2109270;NA;2;   4009;   1074
4202438;SC;4;   1042;    293
4212254;SC;4;   2146;    718
2901205;BA;2;   7239;   1897
2203750;PI;2;   1320;    352
4323408;RS;4;   1343;   1215
3165552;MG;3;   2550;    672
3126950;NA;3;    902;    240
1600550;AP;1;    801;    212
4214805;SC;4;  19952;  17855
1101401;RO;1;   4067;   1159
1101450;RO;1;   1389;    373
3541653;SP;3;   1035;    361
1301209;NA;1;  15151;   4054
2304236;CE;2;   4833;   4572
4320677;RS;4;   3171;   1068
1500107;PA;1;  30917;   8244
4120853;PR;4;   1252;   1125
2202117;NA;2;   1258;    338
4208906;SC;4;  45143;  40062
4302006;RS;4;   3565;   1191
4312351;RS;4;    468;    422
4212403;SC;4;   1345;    506
3301405;NA;3;   6708;   2312
4202909;SC;4;  33237;  28651
2609154;PE;2;   4145;   1166
3130556;MG;3;   1921;    522
4301057;RS;4;   2756;   1240
3541406;SP;3;  67841;  66376
4321667;RS;4;   3426;   1329
5211305;GO;5;   2057;   1212
3548906;SP;3;  71601;  69432
4120150;PR;4;   1094;    347
4211454;NA;4;   1293;    644
3136108;MG;3;   1671;    468
4209201;SC;4;    692;    389
2902658;BA;2;   3035;   2961
1502152;NA;1;   7452;   2295
3503208;SP;3;  68750;  67411
2704203;AL;2;   6783;   1881
4210803;SC;4;   2209;    928
2509404;PB;2;   3617;   1007
3552205;SP;3; 178777; 177076
3539301;SP;3;  22582;  21368
4309159;RS;4;   1215;    395
4214706;SC;4;   3227;   1475
4205175;SC;4;    890;    262
3205176;ES;3;   4218;   1413
5203104;GO;5;   1269;    360
2513000;NA;2;    957;    269
2512762;NA;2;   1170;    328
4217204;SC;4;  12220;   9934
4113700;PR;4; 164917; 158285
